Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1958,0.08269571,0.023697706,0.0,0.023697706
1959,0.04707567,0.023417532,0.0,0.023417532
1960,0.0003964875,0.02040062,0.0,0.02040062
1961,-0.0067307907,0.01767292,0.0,0.01767292
1962,0.04820568,0.018471012,0.0,0.018471012
1963,0.07036424,0.019995894,0.0,0.019995894
1964,-0.26100203,0.018574713,0.0,0.018574713
1965,-0.19513263,0.020156713,0.0,0.020156713
1966,-0.08895999,0.020753048,0.0,0.020753048
1967,-0.039132696,0.017809017,0.0,0.017809017
1968,-0.1392383,0.01528087,0.0,0.01528087
1969,-0.10033807,0.016272746,0.0,0.016272746
1970,-0.12249983,0.014274311,0.0,0.014274311
1971,-0.22896299,0.015130994,0.0,0.015130994
1972,-0.2498834,0.014094211,0.0,0.014094211
1973,0.021601314,0.013667853,0.0,0.013667853
1974,-0.24963334,0.016171686,0.0,0.016171686
1975,-0.11088225,0.014091651,0.0,0.014091651
1976,-0.25186262,0.013710826,0.0,0.013710826
1977,0.07897045,0.01559532,0.0,0.01559532
1978,-0.011896554,0.014582777,0.0,0.014582777
1979,0.031081047,0.014076473,0.0,0.014076473
1980,0.13930702,0.01513558,0.0,0.01513558
1981,0.3399632,0.015189148,0.0,0.015189148
1982,-0.00987823,0.015028461,0.0,0.015028461
1983,0.19221349,0.0139859505,0.0,0.0139859505
1984,-0.02962185,0.013487147,0.0,0.013487147
1985,-0.05202676,0.015946118,0.0,0.015946118
1986,0.062017497,0.013607066,0.0,0.013607066
1987,0.19571494,0.014935205,0.0,0.014935205
1988,0.3156612,0.014074678,0.0,0.014074678
1989,0.21736717,0.014340183,0.0,0.014340183
1990,0.46398687,0.014553351,0.0,0.014553351
1991,0.38519096,0.01431651,0.0,0.01431651
1992,0.09690911,0.015618721,0.0,0.015618721
1993,0.19244476,0.014593443,0.0,0.014593443
1994,0.32322568,0.014619278,0.0,0.014619278
1995,0.56863606,0.015288141,0.0,0.015288141
1996,0.29174882,0.014923609,0.0,0.014923609
1997,0.53472054,0.015321893,0.0,0.015321893
1998,0.71429116,0.016500322,0.0,0.016500322
1999,0.47636312,0.0158021,0.0,0.0158021
2000,0.48707607,0.015284385,0.0,0.015284385
2001,0.62824297,0.016449593,0.0,0.016449593
2002,0.6687142,0.0154337445,0.0,0.0154337445
2003,0.7204716,0.016081301,0.0,0.016081301
2004,0.63348985,0.015926367,0.0,0.015926367
2005,0.8313995,0.016233716,0.0,0.016233716
2006,0.7947609,0.016575769,0.0,0.016575769
2007,0.8321025,0.016178116,0.0,0.016178116
2008,0.67170423,0.01627029,0.0,0.01627029
2009,0.70673966,0.016194008,0.0,0.016194008
2010,0.91949975,0.016056918,0.0,0.016056918
2011,0.725346,0.01592402,0.0,0.01592402
2012,0.7843316,0.017341096,0.0,0.017341096
2013,0.77667415,0.016593074,0.0,0.016593074
2014,0.907794,0.01594729,0.0,0.01594729
2015,1.1308405,0.017858168,0.0,0.017858168
2016,1.255193,0.015991943,0.0,0.015991943
2017,1.1153969,0.015923696,0.0,0.015923696
2018,0.95966166,0.017236555,0.0,0.017236555
2019,1.1437434,0.01808724,0.00021756807,0.01808855
2020,1.2757266,0.019828318,0.0,0.019828318
2021,1.0522927,0.019901622,0.038590353,0.043419924
